league,season,team,players_used,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,url
ITA-Serie A,2425,Empoli,3,38,38,3420,38,59,1.55,158,99,63.3,6,13,19,6,15.8,3,1,1,1,50.0,/en/squads/a3d88bd8/2024-2025/Empoli-Stats
ITA-Serie A,2425,Fiorentina,2,38,38,3420,38,41,1.08,148,106,73.0,19,8,11,12,31.6,3,1,2,0,66.7,/en/squads/421387cf/2024-2025/Fiorentina-Stats
ITA-Serie A,2425,Genoa,4,38,38,3420,38,49,1.29,158,110,72.8,10,13,15,11,28.9,8,6,2,0,25.0,/en/squads/658bf2de/2024-2025/Genoa-Stats
ITA-Serie A,2425,Hellas Verona,2,38,38,3420,38,66,1.74,172,106,62.8,10,7,21,8,21.1,4,2,1,1,33.3,/en/squads/0e72edf2/2024-2025/Hellas-Verona-Stats
ITA-Serie A,2425,Inter,2,38,38,3420,38,35,0.92,130,95,75.4,24,9,5,16,42.1,4,3,1,0,25.0,/en/squads/d609edc0/2024-2025/Internazionale-Stats
ITA-Serie A,2425,Juventus,2,38,38,3420,38,35,0.92,119,84,74.8,18,16,4,17,44.7,5,5,0,0,0.0,/en/squads/e0652b02/2024-2025/Juventus-Stats
ITA-Serie A,2425,Lazio,2,38,38,3420,38,49,1.29,119,72,62.2,18,11,9,9,23.7,4,4,0,0,0.0,/en/squads/7213da33/2024-2025/Lazio-Stats
ITA-Serie A,2425,Lecce,1,38,38,3420,38,58,1.53,181,125,72.4,8,10,20,9,23.7,10,8,1,1,11.1,/en/squads/ffcbe334/2024-2025/Lecce-Stats
ITA-Serie A,2425,Milan,2,38,38,3420,38,43,1.13,142,101,70.4,18,9,11,13,34.2,2,1,1,0,50.0,/en/squads/dc56fe14/2024-2025/Milan-Stats
ITA-Serie A,2425,Monza,3,38,38,3420,38,69,1.82,183,115,63.4,3,9,26,3,7.9,4,2,2,0,50.0,/en/squads/21680aa4/2024-2025/Monza-Stats
ITA-Serie A,2425,Napoli,3,38,38,3420,38,27,0.71,96,69,72.9,24,10,4,19,50.0,4,1,2,1,66.7,/en/squads/d48ad4ff/2024-2025/Napoli-Stats
ITA-Serie A,2425,Parma,2,38,38,3330,38,58,1.57,158,102,66.5,7,15,16,7,18.4,5,5,0,0,0.0,/en/squads/eab4234c/2024-2025/Parma-Stats
ITA-Serie A,2425,Roma,1,38,38,3420,38,35,0.92,151,117,79.5,20,9,9,16,42.1,4,4,0,0,0.0,/en/squads/cf74a709/2024-2025/Roma-Stats
ITA-Serie A,2425,Torino,2,38,38,3420,38,45,1.18,180,133,76.7,10,14,14,10,26.3,7,3,4,0,57.1,/en/squads/105360fe/2024-2025/Torino-Stats
ITA-Serie A,2425,Udinese,3,38,38,3420,38,56,1.47,164,113,70.1,12,8,18,9,23.7,8,7,0,1,0.0,/en/squads/04eea015/2024-2025/Udinese-Stats
ITA-Serie A,2425,Venezia,3,38,38,3420,38,56,1.47,188,134,75.5,5,14,19,6,15.8,11,10,1,0,9.1,/en/squads/af5d5982/2024-2025/Venezia-Stats
ITA-Serie A,2526,Atalanta,1,36,36,3240,36,34,0.94,139,108,77.0,15,13,8,13,36.1,4,2,2,0,50.0,/en/squads/922493f3/Atalanta-Stats
ITA-Serie A,2526,Bologna,3,36,36,3235,36,46,1.28,131,89,67.9,15,7,14,11,30.6,4,4,0,0,0.0,/en/squads/1d8099f8/Bologna-Stats
ITA-Serie A,2526,Cagliari,1,36,36,3240,36,51,1.42,167,117,70.7,9,10,17,8,22.2,2,2,0,0,0.0,/en/squads/c4260e09/Cagliari-Stats
ITA-Serie A,2526,Como,1,36,36,3240,36,28,0.78,108,84,77.8,18,11,7,18,50.0,5,4,1,0,20.0,/en/squads/28c9c3cd/Como-Stats
ITA-Serie A,2526,Cremonese,2,36,36,3240,36,53,1.47,182,134,72.5,7,10,19,10,27.8,5,3,2,0,40.0,/en/squads/9aad3a77/Cremonese-Stats
ITA-Serie A,2526,Fiorentina,1,36,36,3240,36,49,1.36,154,110,71.4,8,14,14,9,25.0,6,5,1,0,16.7,/en/squads/421387cf/Fiorentina-Stats
ITA-Serie A,2526,Genoa,3,36,36,3238,36,49,1.36,147,104,70.7,10,11,15,9,25.0,6,6,0,0,0.0,/en/squads/658bf2de/Genoa-Stats
ITA-Serie A,2526,Hellas Verona,2,36,36,3240,36,58,1.61,141,86,60.3,3,11,22,6,16.7,4,2,2,0,50.0,/en/squads/0e72edf2/Hellas-Verona-Stats
ITA-Serie A,2526,Inter,2,36,36,3240,36,31,0.86,98,70,72.4,27,4,5,18,50.0,4,4,0,0,0.0,/en/squads/d609edc0/Internazionale-Stats
ITA-Serie A,2526,Juventus,2,36,36,3240,36,30,0.83,98,68,70.4,19,11,6,16,44.4,3,1,0,2,0.0,/en/squads/e0652b02/Juventus-Stats
ITA-Serie A,2526,Lazio,2,36,36,3240,36,37,1.03,143,109,76.2,13,12,11,15,41.7,5,3,2,0,40.0,/en/squads/7213da33/Lazio-Stats
ITA-Serie A,2526,Lecce,1,36,36,3240,36,48,1.33,145,103,69.7,8,8,20,9,25.0,6,4,2,0,33.3,/en/squads/ffcbe334/Lecce-Stats
ITA-Serie A,2526,Milan,2,36,36,3240,36,32,0.89,125,100,78.4,19,10,7,15,41.7,8,5,2,1,28.6,/en/squads/dc56fe14/Milan-Stats
ITA-Serie A,2526,Napoli,2,36,36,3240,36,36,1.0,96,69,69.8,21,7,8,13,36.1,10,7,3,0,30.0,/en/squads/d48ad4ff/Napoli-Stats
ITA-Serie A,2526,Parma,3,36,36,3240,36,45,1.25,146,106,72.6,10,12,14,12,33.3,6,5,1,0,16.7,/en/squads/eab4234c/Parma-Stats
ITA-Serie A,2526,Pisa,3,36,36,3240,36,66,1.83,160,99,61.9,2,12,22,5,13.9,6,5,0,1,0.0,/en/squads/4cceedfc/Pisa-Stats
ITA-Serie A,2526,Roma,1,36,36,3240,36,31,0.86,132,102,77.3,21,4,11,16,44.4,1,1,0,0,0.0,/en/squads/cf74a709/Roma-Stats
ITA-Serie A,2526,Sassuolo,2,36,36,3240,36,46,1.28,168,128,75.6,14,7,15,8,22.2,6,5,1,0,16.7,/en/squads/e2befd26/Sassuolo-Stats
ITA-Serie A,2526,Torino,2,36,36,3240,36,59,1.64,158,103,65.2,12,8,16,12,33.3,4,4,0,0,0.0,/en/squads/105360fe/Torino-Stats
ITA-Serie A,2526,Udinese,3,36,36,3236,36,51,1.42,133,89,66.2,14,8,14,11,30.6,7,6,1,0,14.3,/en/squads/04eea015/Udinese-Stats
,2223,Augsburg,2,34,34,3060,34,63,1.85,201,138,69.2,9,7,18,6,17.6,4,1,2,1,66.7,/en/squads/0cdc4311/2022-2023/Augsburg-Stats
,2223,Bayern Munich,3,34,34,3060,34,38,1.12,107,68,72.9,21,8,5,11,32.4,10,9,1,0,10.0,/en/squads/054efa67/2022-2023/Bayern-Munich-Stats
,2223,Bochum,1,34,34,3060,34,72,2.12,200,128,68.0,10,5,19,5,14.7,14,8,3,3,27.3,/en/squads/b42c6323/2022-2023/Bochum-Stats
,2223,Dortmund,2,34,34,3060,34,44,1.29,151,108,71.5,22,5,7,12,35.3,1,1,0,0,0.0,/en/squads/add600ae/2022-2023/Dortmund-Stats
,2223,Eintracht Frankfurt,2,34,34,3060,34,52,1.53,135,84,63.0,13,11,10,6,17.6,2,2,0,0,0.0,/en/squads/f0ac8ee6/2022-2023/Eintracht-Frankfurt-Stats
,2223,Freiburg,1,34,34,3060,34,44,1.29,150,106,74.0,17,8,9,13,38.2,6,5,0,1,0.0,/en/squads/a486e511/2022-2023/Freiburg-Stats
,2223,Gladbach,4,34,34,3060,34,55,1.62,180,126,72.8,11,10,13,9,26.5,6,6,0,0,0.0,/en/squads/32f3ee20/2022-2023/Monchengladbach-Stats
,2223,Hertha BSC,2,34,34,3060,34,69,2.03,170,100,62.4,7,8,19,3,8.8,6,5,1,0,16.7,/en/squads/2818f8bc/2022-2023/Hertha-BSC-Stats
,2223,Hoffenheim,1,34,34,3060,34,57,1.68,161,105,65.8,10,6,18,5,14.7,3,2,0,1,0.0,/en/squads/033ea6b8/2022-2023/Hoffenheim-Stats
,2223,Köln,1,34,34,3060,34,54,1.59,129,77,61.2,10,12,12,6,17.6,5,4,1,0,20.0,/en/squads/bc357bf7/2022-2023/Koln-Stats
,2223,Leverkusen,2,34,34,3059,34,49,1.44,146,99,71.2,14,8,12,9,26.5,7,7,0,0,0.0,/en/squads/c7a9f859/2022-2023/Leverkusen-Stats
,2223,Mainz 05,2,34,34,3060,34,55,1.62,153,95,66.7,12,10,12,7,20.6,8,4,3,1,42.9,/en/squads/a224b06a/2022-2023/Mainz-05-Stats
,2223,RB Leipzig,3,34,34,3060,34,41,1.21,106,66,67.9,20,6,8,10,29.4,8,7,1,0,12.5,/en/squads/acbb6a5b/2022-2023/RB-Leipzig-Stats
,2223,Schalke 04,2,34,34,3060,34,71,2.09,193,123,65.8,7,10,17,7,20.6,6,5,0,1,0.0,/en/squads/c539e393/2022-2023/Schalke-04-Stats
,2223,Stuttgart,2,34,34,3060,34,57,1.68,146,90,65.1,7,12,15,2,5.9,6,6,0,0,0.0,/en/squads/598bc722/2022-2023/Stuttgart-Stats
,2223,Union Berlin,2,34,34,3060,34,38,1.12,144,106,78.5,18,8,8,13,38.2,7,7,0,0,0.0,/en/squads/7a41008f/2022-2023/Union-Berlin-Stats
,2223,Werder Bremen,2,34,34,3060,34,64,1.88,184,121,66.3,10,6,18,4,11.8,3,2,1,0,33.3,/en/squads/62add3bf/2022-2023/Werder-Bremen-Stats
,2223,Wolfsburg,1,34,34,3060,34,48,1.41,147,101,70.1,13,10,11,12,35.3,7,4,1,2,20.0,/en/squads/4eaa11d7/2022-2023/Wolfsburg-Stats
,2324,Augsburg,2,34,34,3060,34,60,1.76,183,123,71.0,10,9,15,3,8.8,10,7,2,1,22.2,/en/squads/0cdc4311/2023-2024/Augsburg-Stats
,2324,Bayern Munich,3,34,34,3060,34,45,1.32,124,78,66.1,23,3,8,11,32.4,4,3,1,0,25.0,/en/squads/054efa67/2023-2024/Bayern-Munich-Stats
,2324,Bochum,2,34,34,3060,34,74,2.18,189,117,65.6,7,12,15,4,11.8,11,9,2,0,18.2,/en/squads/b42c6323/2023-2024/Bochum-Stats
,2324,Darmstadt 98,2,34,34,3060,34,86,2.53,215,130,60.5,3,8,23,3,8.8,2,1,1,0,50.0,/en/squads/6a6967fc/2023-2024/Darmstadt-98-Stats
,2324,Dortmund,2,34,34,3060,34,43,1.26,145,103,73.8,18,9,7,10,29.4,6,5,1,0,16.7,/en/squads/add600ae/2023-2024/Dortmund-Stats
,2324,Eintracht Frankfurt,2,34,34,3060,34,50,1.47,146,94,71.9,11,14,9,7,20.6,11,9,2,0,18.2,/en/squads/f0ac8ee6/2023-2024/Eintracht-Frankfurt-Stats
,2324,Freiburg,1,34,34,3060,34,58,1.71,158,99,65.2,11,9,14,10,29.4,5,3,2,0,40.0,/en/squads/a486e511/2023-2024/Freiburg-Stats
,2324,Gladbach,2,34,34,3060,34,67,1.97,207,140,70.5,7,13,14,4,11.8,6,6,0,0,0.0,/en/squads/32f3ee20/2023-2024/Monchengladbach-Stats
,2324,Heidenheim,1,34,34,3060,34,55,1.62,174,121,72.4,10,12,12,6,17.6,10,7,1,2,12.5,/en/squads/18d9d2a7/2023-2024/Heidenheim-Stats
,2324,Hoffenheim,1,34,34,3060,34,66,1.94,211,143,69.7,13,7,14,2,5.9,5,2,3,0,60.0,/en/squads/033ea6b8/2023-2024/Hoffenheim-Stats
,2324,Köln,1,34,34,3060,34,60,1.76,168,108,66.1,5,12,17,4,11.8,3,3,0,0,0.0,/en/squads/bc357bf7/2023-2024/Koln-Stats
,2324,Leverkusen,2,34,34,3060,34,24,0.71,105,81,77.1,28,6,0,16,47.1,0,0,0,0,,/en/squads/c7a9f859/2023-2024/Leverkusen-Stats
,2324,Mainz 05,2,34,34,3060,34,51,1.5,145,95,66.9,7,14,13,8,23.5,4,3,0,1,0.0,/en/squads/a224b06a/2023-2024/Mainz-05-Stats
,2324,RB Leipzig,2,34,34,3060,34,39,1.15,117,79,70.1,19,8,7,10,29.4,5,4,0,1,0.0,/en/squads/acbb6a5b/2023-2024/RB-Leipzig-Stats
,2324,Stuttgart,2,34,34,3060,34,39,1.15,129,93,72.1,23,4,7,12,35.3,3,3,0,0,0.0,/en/squads/598bc722/2023-2024/Stuttgart-Stats
,2324,Union Berlin,2,34,34,3060,34,58,1.71,168,109,68.5,9,6,19,7,20.6,7,5,2,0,28.6,/en/squads/7a41008f/2023-2024/Union-Berlin-Stats
,2324,Werder Bremen,2,34,34,3060,34,54,1.59,166,113,71.1,11,9,14,7,20.6,6,6,0,0,0.0,/en/squads/62add3bf/2023-2024/Werder-Bremen-Stats
,2324,Wolfsburg,2,34,34,3060,34,56,1.65,151,98,64.2,10,7,17,6,17.6,3,2,0,1,0.0,/en/squads/4eaa11d7/2023-2024/Wolfsburg-Stats
,2425,Augsburg,2,34,34,3060,34,51,1.5,156,107,70.5,11,10,13,11,32.4,5,5,0,0,0.0,/en/squads/0cdc4311/2024-2025/Augsburg-Stats
,2425,Bayern Munich,4,34,34,3060,34,32,0.94,80,48,61.3,25,7,2,16,47.1,2,1,0,1,0.0,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats
,2425,Bochum,2,34,34,3060,34,68,2.0,153,83,57.5,5,8,21,5,14.7,6,3,2,1,40.0,/en/squads/b42c6323/2024-2025/Bochum-Stats
,2425,Dortmund,2,34,34,3060,34,51,1.5,140,89,66.4,17,6,11,7,20.6,4,4,0,0,0.0,/en/squads/add600ae/2024-2025/Dortmund-Stats
,2425,Eintracht Frankfurt,2,34,34,3060,34,46,1.35,163,117,72.4,17,9,8,9,26.5,3,1,2,0,66.7,/en/squads/f0ac8ee6/2024-2025/Eintracht-Frankfurt-Stats
,2425,Freiburg,2,34,34,3060,34,53,1.56,150,96,66.0,16,7,11,11,32.4,4,2,2,0,50.0,/en/squads/a486e511/2024-2025/Freiburg-Stats
,2425,Gladbach,4,34,34,3056,34,57,1.68,191,135,73.8,13,6,15,7,20.6,8,7,1,0,12.5,/en/squads/32f3ee20/2024-2025/Monchengladbach-Stats
,2425,Heidenheim,2,34,34,3060,34,64,1.88,171,107,66.1,8,5,21,9,26.5,6,6,0,0,0.0,/en/squads/18d9d2a7/2024-2025/Heidenheim-Stats
,2425,Hoffenheim,2,34,34,3060,34,68,2.0,173,105,62.4,7,11,16,4,11.8,6,3,3,0,50.0,/en/squads/033ea6b8/2024-2025/Hoffenheim-Stats
,2425,Holstein Kiel,2,34,34,3060,34,80,2.35,195,117,62.1,6,7,21,2,5.9,7,6,1,0,14.3,/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats
,2425,Leverkusen,2,34,34,3060,34,43,1.26,134,95,70.9,19,12,3,9,26.5,4,4,0,0,0.0,/en/squads/c7a9f859/2024-2025/Leverkusen-Stats
,2425,Mainz 05,2,34,34,3060,34,43,1.26,150,106,74.0,14,10,10,9,26.5,5,4,1,0,20.0,/en/squads/a224b06a/2024-2025/Mainz-05-Stats
,2425,RB Leipzig,2,34,34,3060,34,48,1.41,158,109,70.9,13,12,9,14,41.2,3,2,1,0,33.3,/en/squads/acbb6a5b/2024-2025/RB-Leipzig-Stats
,2425,St Pauli,2,34,34,3060,34,41,1.21,140,96,71.4,8,8,18,9,26.5,5,1,4,0,80.0,/en/squads/54864664/2024-2025/St-Pauli-Stats
,2425,Stuttgart,1,34,34,3060,34,53,1.56,136,83,62.5,14,8,12,7,20.6,3,2,1,0,33.3,/en/squads/598bc722/2024-2025/Stuttgart-Stats
,2425,Union Berlin,2,34,34,3060,34,50,1.47,139,86,65.5,10,11,13,8,23.5,6,2,4,0,66.7,/en/squads/7a41008f/2024-2025/Union-Berlin-Stats
,2425,Werder Bremen,1,34,34,3060,34,57,1.68,156,102,65.4,14,9,11,10,29.4,3,3,0,0,0.0,/en/squads/62add3bf/2024-2025/Werder-Bremen-Stats
,2425,Wolfsburg,2,34,34,3060,34,54,1.59,160,106,67.5,11,10,13,6,17.6,3,2,1,0,33.3,/en/squads/4eaa11d7/2024-2025/Wolfsburg-Stats
,2526,Augsburg,1,33,33,2970,33,57,1.73,150,100,66.0,12,7,14,5,15.2,7,6,1,0,14.3,/en/squads/0cdc4311/Augsburg-Stats
,2526,Bayern Munich,3,33,33,2970,33,35,1.06,101,68,67.3,27,5,1,12,36.4,3,2,0,1,0.0,/en/squads/054efa67/Bayern-Munich-Stats
,2526,Dortmund,1,33,33,2970,33,34,1.03,114,85,74.6,21,7,5,14,42.4,5,5,0,0,0.0,/en/squads/add600ae/Dortmund-Stats
,2526,Eintracht Frankfurt,2,33,33,2970,33,63,1.91,154,94,61.0,11,10,12,7,21.2,3,3,0,0,0.0,/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
,2526,Freiburg,1,33,33,2970,33,56,1.7,150,95,62.7,12,8,13,6,18.2,1,0,1,0,100.0,/en/squads/a486e511/Freiburg-Stats
,2526,Gladbach,1,33,33,2970,33,53,1.61,181,133,73.5,8,11,14,12,36.4,5,5,0,0,0.0,/en/squads/32f3ee20/Monchengladbach-Stats
,2526,Hamburger SV,1,33,33,2970,33,53,1.61,150,105,68.7,9,10,14,6,18.2,10,6,2,2,25.0,/en/squads/26790c6a/Hamburger-SV-Stats
,2526,Heidenheim,2,33,33,2970,33,70,2.12,175,110,62.9,6,8,19,1,3.0,6,5,0,1,0.0,/en/squads/18d9d2a7/Heidenheim-Stats
,2526,Hoffenheim,1,33,33,2970,33,48,1.45,139,96,69.1,18,7,8,7,21.2,7,5,0,2,0.0,/en/squads/033ea6b8/Hoffenheim-Stats
,2526,Köln,1,33,33,2970,33,58,1.76,141,90,62.4,7,11,15,3,9.1,7,5,2,0,28.6,/en/squads/bc357bf7/Koln-Stats
,2526,Leverkusen,2,33,33,2970,33,46,1.39,154,115,74.7,17,7,9,8,24.2,7,7,0,0,0.0,/en/squads/c7a9f859/Leverkusen-Stats
,2526,Mainz 05,3,33,33,2968,33,53,1.61,162,111,68.5,9,10,14,3,9.1,2,2,0,0,0.0,/en/squads/a224b06a/Mainz-05-Stats
,2526,RB Leipzig,2,33,33,2970,33,43,1.3,122,81,66.4,20,5,8,11,33.3,3,2,1,0,33.3,/en/squads/acbb6a5b/RB-Leipzig-Stats
,2526,St Pauli,1,33,33,2970,33,57,1.73,167,115,67.7,6,8,19,5,15.2,5,3,2,0,40.0,/en/squads/54864664/St-Pauli-Stats
,2526,Stuttgart,1,33,33,2970,33,47,1.42,142,102,71.8,18,7,8,11,33.3,8,7,1,0,12.5,/en/squads/598bc722/Stuttgart-Stats
,2526,Union Berlin,3,33,33,2970,33,58,1.76,143,89,63.6,9,9,15,6,18.2,6,6,0,0,0.0,/en/squads/7a41008f/Union-Berlin-Stats
,2526,Werder Bremen,2,33,33,2970,33,58,1.76,156,104,66.7,8,8,17,6,18.2,6,6,0,0,0.0,/en/squads/62add3bf/Werder-Bremen-Stats
,2526,Wolfsburg,1,33,33,2970,33,68,2.06,177,119,65.5,6,8,19,2,6.1,12,7,3,2,30.0,/en/squads/4eaa11d7/Wolfsburg-Stats
